Index,Image_Number,Filename,Width,Height,Pixels,Original_Bits,Compressed_Bits,Compression_Ratio_%,Space_Saved_Bits,Perfect,MSE,PSNR,MAE,Output_Path
1,1,image1.png,899,1599,1437501,11500008,7744524,32.66,3755484,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image1.png
2,10,image10.png,591,1280,756480,6051840,4900300,19.03,1151540,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image10.png
3,11,image11.png,220,148,32560,260480,280001,-7.49,-19521,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image11.png
4,12,image12.png,281,179,50299,402392,523658,-30.14,-121266,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image12.png
5,13,image13.png,720,480,345600,2764800,4157251,-50.36,-1392451,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image13.png
6,14,image14.png,274,184,50416,403328,609819,-51.20,-206491,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image14.png
7,15,image15.png,275,184,50600,404800,712112,-75.92,-307312,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image15.png
8,16,image16.png,720,1280,921600,7372800,6813380,7.59,559420,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image16.png
9,17,image17.png,3,3,9,72,34,52.78,38,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image17.png
10,18,image18.png,975,589,574275,4594200,5586112,-21.59,-991912,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image18.png
11,19,image19.png,962,575,553150,4425200,6518042,-47.29,-2092842,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image19.png
12,2,image2.png,1052,467,491284,3930272,882448,77.55,3047824,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image2.png
13,20,image20.png,970,682,661540,5292320,8098206,-53.02,-2805886,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image20.png
14,21,image21.png,1080,721,778680,6229440,5485648,11.94,743792,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image21.png
15,22,image22.png,1054,659,694586,5556688,7715568,-38.85,-2158880,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image22.png
16,23,image23.png,1090,717,781530,6252240,8321132,-33.09,-2068892,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image23.png
17,24,image24.png,1090,715,779350,6234800,3743529,39.96,2491271,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image24.png
18,25,image25.png,1874,985,1845890,14767120,11345334,23.17,3421786,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image25.png
19,26,image26.png,1653,961,1588533,12708264,13783412,-8.46,-1075148,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image26.png
20,27,image27.png,720,845,608400,4867200,6631363,-36.25,-1764163,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image27.png
21,28,image28.png,836,816,682176,5457408,5359162,1.80,98246,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image28.png
22,3,image3.png,1085,651,706335,5650680,956378,83.07,4694302,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image3.png
23,4,image4.png,1280,1280,1638400,13107200,9640908,26.45,3466292,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image4.png
24,5,image5.png,900,1600,1440000,11520000,13732028,-19.20,-2212028,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image5.png
25,6,image6.png,720,1600,1152000,9216000,1116060,87.89,8099940,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image6.png
26,7,image7.png,1280,617,789760,6318080,919955,85.44,5398125,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image7.png
27,8,image8.png,988,1280,1264640,10117120,2529001,75.00,7588119,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image8.png
28,9,image9.png,1280,1280,1638400,13107200,7074263,46.03,6032937,True,0.000000,inf,0.000000,outputs/reconstructed_images/reconstructed_image9.png
